Company1,Company2,weight
Bank- Alfalah Pakistan,World Wide Fund for Nature-Pakistan,1
Bank- Alfalah Pakistan,Karachi School For Business & Leadership,1
Bank- Alfalah Pakistan,Titan Cement Company S.A,1
Bank- Alfalah Pakistan,Tsakos Energy Navigation ltd,1
Bank- Alfalah Pakistan,"Commercial Banking Co. (Valdosta, Georgia)",1
Bank- Alfalah Pakistan,Credit Libanais SAL,1
Bank- Alfalah Pakistan,"Ten, Inc.",1
Bank- Alfalah Pakistan,Athens University of Economics & Business,1
Bank- Alfalah Pakistan,NMB Bank Ltd. (Zimbabwe),1
Bank- Alfalah Pakistan,NMBZ Holding Limited,1
Bank- Alfalah Pakistan,International Steels Limited,1
Bank- Alfalah Pakistan,Philip Morris (Pakistan) Limited,1
Bank- Alfalah Pakistan,Institute of Chartered Accountants in England & Wales,1
Bank- Alfalah Pakistan,Abbot Laboatories (Pakistan) Limited,1
Bank Of Punjab Limited,Atlas Power Limited,1
Bank Of Punjab Limited,Systems Limited,1
Bank Of Punjab Limited,Speed (Pvt) Ltd,1
Bank Of Punjab Limited,S2 Power Limited,1
Bank Of Punjab Limited,Quaid e Azam Solar Power (pvt) ltd,1
Bank Of Punjab Limited,Quaid-e-Azam Thermal Power (Pvt.) Limited,2
Bank Of Punjab Limited,Punjab Institute of Cardiology & KBM Accountancy Pvt Ltd,1
Bank Of Punjab Limited,Chem Coats (Pvt) Ltd,1
Bank Of Punjab Limited,Packages Construction (Pvt) Ltd,1
Bank Of Punjab Limited,National Power Parks Management Company (Pvt) Ltd,1
Bank Of Punjab Limited,Service Industries Limited,1
Habib Bank Limited,Tourism Promotion Services Pakistan Limited,1
Habib Bank Limited,Serena Hotels in Pakistan,1
Habib Bank Limited,"Habib Allied International Bank plc, UK",1
Habib Bank Limited,"Habib Finance International Limited, Hong Kong",1
Habib Bank Limited,"Habibsons Bank Limited, UK",1
Habib Bank Limited,Pakistan Banks Association,1
Habib Bank Limited,Bretton Woods Committee,1
Habib Bank Limited,Diamond Trust Bank in Kenya,1
Habib Bank Limited,Marcuard Family Office in Switzerland,1
Habib Bank Limited,JAAM AG,1
Habib Bank Limited,First Micro Finance Bank Limited,1
Habib Bank Limited,Banking Laws Review Commission of Pakistan,1
Habib Bank Limited,Diamond Trust Bank in Tanzania,1
Habib Bank Limited,Diamond Trust Bank in Uganda,1
Habib Bank Limited,Aga Khan Fund for Economic Development,1
Habib Bank Limited,Industrial Promotion and Development Company of Bangladesh Limited,1
Habib Bank Limited,"DCB Bank Limited, India.",1
Habib Bank Limited,Bandhi Sugar Mills,1
Habib Bank Limited,Thatta Cement Company Limited,1
Habib Bank Limited,Newport Containers Terminal (Private) Limited,1
Habib Bank Limited,Triton LPG (Private) Limited,1
Habib Bank Limited,PIA Investment ltd,1
Habib Bank Limited,Alpha Insurance Co ltd,1
Habib Bank Limited,Minhal France SA,1
Habib Bank Limited,Roosevelt Hotel Corp.,1
Habib Bank Limited,Roosevelt Hotel Operation LLC,1
Habib Bank Limited,Rhc Equity LLC,1
Habib Bank Limited,Rhc Equity II LLC,1
Habib Bank Limited,Rhc Equity III LLC,1
Habib Bank Limited,"Minhal, Inc.",1
Habib Bank Limited,Attock Refinery Limited,1
Habib Bank Limited,Sui Southern Gas Company Limited,2
Pakistan Petroleum Limited,Habib Bank Limited,1
Habib Bank Limited,Pakistan Business Council,1
Habib Bank Limited,The Institute of Bankers Pakistan,1
United Bank Limited,Bestway Group UK,4
United Bank Limited,Batleys Limited,1
United Bank Limited,Bestway Northern Limited UK,1
United Bank Limited,Pakistan Britain Business Council,1
United Bank Limited,Bestway Foundation Pakistan,2
United Bank Limited,Bestway Foundation Uk,3
United Bank Limited,UBL Insurers Limited,1
United Bank Limited,Institute of Bankers Uk,1
United Bank Limited,UBL (Switzerland) AG,1
United Bank Limited,United Bank Uk,1
United Bank Limited,UBL Bank Tanzania Ltd,1
United Bank Limited,Oman United Exchange Company LLC,1
United Bank Limited,Institute of Chartered Accountants in England & Wales,3
Faysal Bank Limited,Society for Sustainable Development,1
Faysal Bank Limited,Resource Development Committee of Agha Khan University Hospital,1
Faysal Bank Limited,Pakistan Refinery Ltd,1
Faysal Bank Limited,Legend Trust,1
Faysal Bank Limited,Cantara Switzerland SA,1
Faysal Bank Limited,MFAI Jersey Ltd.,1
Faysal Bank Limited,DMI Jersey Ltd,1
Faysal Bank Limited,Islamic Investment Co. of the Gulf (Bahamas) Ltd.,1
Faysal Bank Limited,"Overland Capital Group, Inc",1
Faysal Bank Limited,Islamic Investment Co. of The Gulf Sharjah,1
Faysal Bank Limited,First Leasing Bank BSC,1
Faysal Bank Limited,inJAz Bahrain,1
Faysal Bank Limited,Islamic Investment Co. of Gulf,1
Faysal Bank Limited,The Benefit Co.,1
Faysal Bank Limited,Family Bank Bahrain,1
Faysal Bank Limited,Lost Paradise of Dilmun Water Park,1
Faysal Bank Limited,Al Areen Palace Hotel & SpA,1
Faysal Bank Limited,Gulf Investors Asset Management Co.,1
Faysal Bank Limited,Ithmaar Bank BSC,1
Faysal Bank Limited,Solidarity Group Holdings BSC,1
Faysal Bank Limited,American Mission Hospital,1
Faysal Bank Limited,Bahrain Development Bank BSC,1
Faysal Bank Limited,Tamkeen Bahrain,1
Faysal Bank Limited,Durrat Resort Management Co.,1
Faysal Bank Limited,Turiya BHD,1
Faysal Bank Limited,Pakistan Institute of Corporate Governance,1
Allied Bank Limited,Ibrahim Agencies Pvt,3
Allied Bank Limited,ABL Asset Management Company Limited,3
Allied Bank Limited,National Management Foundation,1
Allied Bank Limited,Sitara Energy Ltd.,1
Allied Bank Limited,Arabian Sea Country Club,1
Allied Bank Limited,Faisalabad Industrial Estate Development & Management Co.,1
Allied Bank Limited,Institute of Chartered Secretaries & Managers,1
Allied Bank Limited,Institute of Marketing Management of Pakistan,1
Allied Bank Limited,Ibrahim Fibre Limited,3
Allied Bank Limited,Institute of Chartered Accountant of Pakistan,1
Allied Bank Limited,Institute of Chartered Accountants in England & Wales,1
Allied Bank Limited,The Institute of Bankers Pakistan,1
Allied Bank Limited,HUB Power Company Ltd,1
Allied Bank Limited,Lahore University of Management & Sciences.,1
MCB Bank Limited,MCB-Arif Habib Savings and Invts Ltd,1
MCB Bank Limited,The Punjab Coal Mining Co.,1
MCB Bank Limited,The Atlantic Council of the United States,1
MCB Bank Limited,Commonwealth Business Council,1
MCB Bank Limited,Pakistan Civil Aviation Authority,1
MCB Bank Limited,Punjab Board of Investment & Trade,1
MCB Bank Limited,Shalamar Medical & Dental College,1
MCB Bank Limited,Foundation for Advancement of Engineering Sciences & Advanced,1
MCB Bank Limited,MCB Leasing Co.,1
MCB Bank Limited,Siddiqsons Ltd.,1
MCB Bank Limited,Siddiqsons Tin Plate Limited,1
MCB Bank Limited,Siddiqsons Denim Mills Ltd.,1
MCB Bank Limited,Central Depository Co. of Pakistan Ltd,1
MCB Bank Limited,Askari Siddiqsons Development Co. Ltd.,1
MCB Bank Limited,Canvas Co. of Pakistan Pvt Ltd.,1
MCB Bank Limited,Triple Tree Pvt Ltd.,1
MCB Bank Limited,Triple Tree Associates,1
MCB Bank Limited,NC Energy Ltd.,2
MCB Bank Limited,Mian Muhammad Yahya Trust,1
MCB Bank Limited,Saleem Memorial Trust Hospital,1
MCB Bank Limited,NC Entertainment Pvt Ltd.,1
MCB Bank Limited,NC Holdings Ltd.,1
MCB Bank Limited,NC Electric Co. Ltd.,1
MCB Bank Limited,Nishat Hotels & Properties Ltd.,2
MCB Bank Limited,Adamjee Life Assurance Co. Ltd.,2
MCB Bank Limited,Nishat Dairy Pvt Ltd.,1
MCB Bank Limited,Nishat Developers (Pvt) Ltd.,1
MCB Bank Limited,Nishat Agriculture Farming Pvt Ltd.,1
MCB Bank Limited,Nishat (Aziz Avenue) Hotels & Properties Ltd.,2
MCB Bank Limited,Nishat (Raiwind) Hotels & Properties Ltd.,2
MCB Bank Limited,Nishat (Gulberg) Hotels & Properties Ltd.,2
MCB Bank Limited,Nishat Farm Supplies Pvt Ltd.,1
MCB Bank Limited,Nishat Paper Products Co,1
MCB Bank Limited,MCB Financial Services Ltd.,2
MCB Bank Limited,Alfalah GHP Income Fund,1
MCB Bank Limited,Alfalah GHP Stock Fund,1
MCB Bank Limited,Alfalah GHP Islamic Income Fund,1
MCB Bank Limited,Alfalah GHP Money Market Fund,1
MCB Bank Limited,IGI Capital Protected Fund,1
MCB Bank Limited,Ahmad Alman Aslam & Associates,1
MCB Bank Limited,The Insurance Association of Pakistan,1
MCB Bank Limited,Pakistan Insurance Institute,1
MCB Bank Limited,Malayan Banking Berhad,1
MCB Bank Limited,Malaysian Institute of Management,1
MCB Bank Limited,Malaysian Investment Banking Association,1
MCB Bank Limited,MNET Services Pvt Ltd,1
MCB Bank Limited,Crescent Fibres Ltd,1
MCB Bank Limited,Premier Insurance Ltd,1
MCB Bank Limited,Amil Exports Pvt Ltd,1
MCB Bank Limited,Crescent Technologies Pvt Ltd,1
MCB Bank Limited,MCB Employees Foundation,1
MCB Bank Limited,Pakistan Banks Association,1
MCB Bank Limited,Institute of Chartered Accountant of Pakistan,2
MCB Bank Limited,D.G Khan Cement Limited,1
MCB Bank Limited,Adamjee Insurance Company Limited,3
MCB Bank Limited,Lahore University of Management & Sciences.,1
MCB Bank Limited,Pakistan State Oil Ltd,1
MCB Bank Limited,Nishat Chunian Power Limited,3
MCB Bank Limited,Nishat Chunian Limited,3
MCB Bank Limited,Pakistan Business Council,1
MCB Bank Limited,Nishat Mills Limited,1
Bank Al Habib Limited,Habib Sugar Mills Ltd,2
Bank Al Habib Limited,First Habib Stock Fund,1
Bank Al Habib Limited,First Habib Cash Fund,1
Bank Al Habib Limited,First Habib Income Fund,1
Bank Al Habib Limited,First Habib Islamic Balanced Fund,1
Bank Al Habib Limited,Habib Insurance Company Limited,1
Bank Al Habib Limited,Pakistan Synthetics Ltd.,1
Bank Al Habib Limited,National Investment Trust ltd,1
Bank Al Habib Limited,Mutual Funds Association of Pakistan,1
Bank Al Habib Limited,Central Depository Co. of Pakistan Ltd.,1
Bank Al Habib Limited,Habib Bank Financial Services (Pvt) Ltd.,1
Bank Al Habib Limited,HUB Power Company Ltd,1
Bank Al Habib Limited,Mari Petroleum Company Limited,1
Bank Al Habib Limited,Fauji Fertilizer Company Limited,1
Bank Al Habib Limited,Pak Suz Motor Comp Limited,1
